num_year,num_semana,primer_dia_semana,poligono_departamento,Solicitudes,Viajes_finalizados,GMV,Ticket_Promedio,promedio_eta_segundos,distancia_pickup_promedio_mts,Viajes_cancelados,NODRIVERACCEPTED,NODRIVERFOUND,GMV_Tarjeta,Viajes_finalizados_Tarjeta_ueno,GMV_Tarjeta_ueno,Conductores,Conductores_c_Viaje,conductores_nuevos,conductores_recurrentes,Ganancias_conductor,Pasajeros,Pasajeros_c_Viaje,pasajeros_nuevos,pasajeros_recurrentes,Solicitudes_B2C,Viajes_finalizados_B2C,GMV_B2C,Ticket_Promedio_B2C,Solicitudes_B2B,Viajes_finalizados_B2B,GMV_B2B,Ticket_Promedio_B2B,Solicitudes_B2B_sReservas,Viajes_finalizados_B2B_sReservas,GMV_B2B_sReservas,Ticket_Promedio_B2B_sReservas
2026,36,2026-08-31,CENTRAL,1141,308,10705308,34757,415,2328,472,106,254,4403900,572,4224900,199,147,0,147,9147919,549,235,11,224,937,204,5575300,27330,204,104,5130008,49327,204,104,5130008,49327
2026,36,2026-08-31,ITAPUA,1062,567,9582810,16901,236,1427,482,7,5,2146700,243,1897700,327,277,1,276,8912180,571,441,3,438,1060,566,9548100,16869,2,1,34710,34710,2,1,34710,34710
2026,35,2026-08-24,CENTRAL,6059,2706,148544877,54895,393,2181,2317,367,669,31893700,3271,30676100,581,444,23,421,118262834,1898,1198,47,1151,4242,1502,36280000,24154,1817,1204,112264877,93243,1756,1144,79822667,69775
2026,35,2026-08-24,ITAPUA,6993,3784,64715610,17102,210,1235,3105,36,58,17316300,1722,15229800,686,633,10,623,60564220,2220,1814,38,1776,6962,3765,64186700,17048,31,19,528910,27837,31,19,528910,27837
2026,34,2026-08-17,CENTRAL,8160,2882,148992841,51698,418,2274,3235,528,1515,36982200,4552,35852200,635,485,21,464,123674639,2209,1313,53,1260,5992,1646,42213100,25646,2168,1236,106779741,86391,2113,1181,85166741,72114
2026,34,2026-08-17,ITAPUA,7233,4244,71498970,16847,160,940,2726,33,230,19836800,1858,17336100,723,661,16,645,68506620,2214,1902,42,1860,7215,4231,71283000,16848,18,13,215970,16613,18,13,215970,16613
2026,33,2026-08-10,CENTRAL,7634,2839,147154851,51833,402,2234,2990,458,1347,36182400,4326,35586500,626,501,13,488,120532375,2085,1254,32,1222,5498,1647,40830700,24791,2136,1192,106324151,89198,2081,1137,84611151,74416
2026,33,2026-08-10,ITAPUA,7549,4396,74311300,16904,168,1011,2988,53,112,22867200,2069,20196300,715,650,8,642,70815730,2381,2017,34,1983,7528,4381,73993300,16890,21,15,318000,21200,21,15,318000,21200
2026,32,2026-08-03,CENTRAL,10656,3374,167396439,49614,420,2304,3560,728,2994,45536500,5837,44487000,612,487,26,461,136424967,2623,1490,58,1432,8228,2043,51748900,25330,2428,1331,115647539,86888,2369,1272,93350139,73388
2026,32,2026-08-03,ITAPUA,8015,4888,80948370,16561,163,975,2922,48,157,23863300,2023,20149400,734,676,10,666,76603470,2396,2100,35,2065,7998,4875,80745700,16563,17,13,202670,15590,17,13,202670,15590
2026,31,2026-07-27,CENTRAL,9971,3214,154526420,48079,409,2274,3495,624,2638,44006000,5678,43096200,612,476,19,457,128709703,2657,1447,48,1399,7688,1946,51073500,26245,2283,1268,103452920,81587,2224,1209,82175260,67970
2026,31,2026-07-27,ITAPUA,8219,4989,82195700,16475,168,1010,3038,47,145,22424100,1926,18762900,740,684,18,666,75389120,2490,2152,43,2109,8210,4984,82103500,16473,9,5,92200,18440,9,5,92200,18440
2026,30,2026-07-20,CENTRAL,6369,3071,160586089,52291,359,1985,2359,306,633,36492200,3505,36028400,630,500,18,482,125572761,1890,1247,41,1206,4325,1660,40545000,24425,2044,1411,120041089,85075,1981,1348,97348089,72217
2026,30,2026-07-20,ITAPUA,6923,4378,74693470,17061,156,941,2301,50,194,19868900,1634,16665600,711,658,6,652,67943100,2223,1928,37,1891,6922,4377,74676700,17061,1,1,16770,16770,1,1,16770,16770
2026,29,2026-07-13,CENTRAL,6629,3287,167152250,50853,354,1967,2362,259,721,41222500,3826,40355800,637,519,20,499,131037436,2003,1298,59,1239,4692,1852,45833300,24748,1937,1435,121318950,84543,1879,1377,99259460,72084
2026,29,2026-07-13,ITAPUA,6790,4437,75223350,16954,152,890,2183,42,128,20979100,1701,18059100,730,678,8,670,68076540,2173,1893,48,1845,6786,4433,75064900,16933,4,4,158450,39613,4,4,158450,39613
2026,28,2026-07-06,CENTRAL,7603,3027,154684301,51102,344,1870,2870,649,1057,36497700,4212,35734700,639,519,19,500,121565868,2075,1262,53,1209,5148,1603,40253900,25112,2455,1424,114430401,80358,2398,1368,94331811,68956
2026,28,2026-07-06,ITAPUA,7724,4410,75885760,17208,138,794,2949,182,183,21368600,2014,18627700,743,695,11,684,68823280,2268,1905,45,1860,7697,4399,75651300,17197,27,11,234460,21315,27,11,234460,21315
2026,27,2026-06-29,CENTRAL,9829,3102,145708933,46973,400,2196,3162,525,3040,40434700,5619,39530700,643,496,18,478,115910522,2660,1387,36,1351,7628,1729,45269200,26182,2201,1373,100439733,73153,2147,1319,79771953,60479
